able ebL
about 6bQt
above 6bAv
abuses 6byusIz
accustomed 6kAstMd
acquiesced &kwIEst
act &kt
activities &ktIvItiz
activity &ktIvIti
actual &kcuL
actually &kcu6li
add &d
adults 6dAlts
advanced &dv&nst
afraid 6fred
after &ftR
afternoon &ftRnun
afterwards &ftRwRdz
again 6gEn
age eG
ago 6go
ahead 6hEd
air *
airplane *plen
aisles 9lz
alarm 6l#m
alice &lIs
alice's &lIsIz
alive 6l9v
all Ol
alligator &lIgetR
alligator's &lIgetRz
allow 6lQ
allowed 6lQd
almost Olmost
alone 6lon
along 6lON
alphabet &lf6bEt
already OlrEdi
alright Olr9t
also Olso
although OlDo
always Olwez
am &m
amazed 6mezd
amazing 6mezIN
ambivalence &mbIv6l~s
amelia 6mily6
amount 6mQnt
amused 6myuzd
an 6n
and &nd
andrew's &ndruz
andy &ndi
animal &n6mL
animals &n6mLz
ann &n
anne &n
annie &ni
annie's &niz
another 6nADR
answer &nsR
answers &nsRz
ant &nt
ants &nts
any Eni
anybody Enibadi
anyhow EnihQ
anymore Enim%
anyone EniwAn
anything EniTIN
anyway Eniwe
anywhere EniW*
apart 6p#t
apartment 6p#tm~t
apparently 6p*~tli
appeals 6pilz
apple &pL
apples &pLz
applesauce &pLsOs
appreciate 6priSiet
approached 6proct
appropriate 6propriIt
aquarium 6kw*iM
are #
area *i6
areas *i6z
aren't #nt
arm #m
arms #mz
around 6rQnd
arranged 6renGd
arrangements 6renGm~ts
array 6re
as &z
ask &sk
asked &skt
asking &skIN
asks &sks
asleep 6slip
associate 6sosiet
associated 6sosietId
associates 6sosiets
association 6sosieS~
at &t
ate et
attached 6t&ct
attack 6t&k
attention 6tEnS~
august Og6st
aunt &nt
automatically Ot6m&tIkli
awake 6wek
aware 6w*
away 6we
awfully Ofli
babble b&bL
babies bebiz
baby bebi
baby's bebiz
babysat bebisIt
babysitter bebisItR
babysitters bebisItRz
back b&k
backs b&ks
bad b&d
bag b&g
bags b&gz
ball bOl
balloon b6lun
balloons b6lunz
balls bOlz
balogna b6loni
bambi b&mbi
bananas b6n&n6z
band b&nd
bang b&N
bank b&Nk
bark b#k
barks b#ks
barrels b*Lz
barrette b6rEt
barrettes b6rEts
bars b#z
baseball besbOl
baseballs besbOlz
basically besIkli
basket b&skIt
baskets b&skIts
bat b&t
bath b&T
bathing beDIN
bathroom b&Trum
bathtub b&TtAb
be bi
beach bic
beans binz
bear b*
beard b(d
beautiful byut6fL
because bIkAz
become bIkAm
becomes bIkAmz
bed bEd
bedroom bEdrum
bedspread bEdsprEd
bee bi
been bIn
beetles bitLz
before bIf%
began bIg&n
begin bIgIn
beginner bIgInR
beginning bIgInIN
begins bIgInz
behavior bIhevyR
behind bIh9nd
being biIN
belief bIlif
believe bIliv
believes bIlivz
bell bEl
belongs bIlON
belt bElt
belts bElts
berry b*i
bert b3t
bert's b3ts
besides bIs9dz
best bEst
bet bEt
better bEtR
between bItwin
beyond biand
bib bIb
bible b9bL
big bIg
bigger bIgR
biggest bIgIst
bill bIl
bird b3d
birdie b3di
birdie's b3diz
birdies b3diz
birds b3dz
birthday b3Tde
bit bIt
bite b9t
bites b9ts
bits bIts
black bl&k
blanket bl&NkIt
bless blEs
block blak
block's blaks
blocks blaks
blouse blQs
blow blo
blue blu
blush blAS
boat bot
bob bab
bobby babi
body badi
bones bonz
book bUk
bookcase bUkkes
books bUks
boots buts
bored b%d
boring b%IN
both boT
bother baDR
bothered baDRd
bottle batL
bottom batM
bought bOt
bow bo
bowl bol
bowls bolz
bows boz
box baks
boxes baksIz
boy b7
boy's b7z
boys b7z
brain bren
bran br&n
bread brEd
break brek
breakfast brEkf6st
breeze briz
brenda brEnd6
bridge brIG
bridges brIGIz
bright br9t
bring brIN
bringing brININ
brings brINz
bristle brIsL
bristles brIsLz
broke brok
broken brok~
brother brADR
brought brOt
brows brQz
brush brAS
brushes brASIz
brushing brASIN
bubbles bAbLz
buckets bAkIts
buckling bAklIN
bucky bAki
buddy bAdi
bug bAg
bugs bAgz
build bIld
building bIldIN
buildings bIldINz
builds bIldz
built bIlt
bunch bAnc
bunnies bAniz
bunny bAni
bunny's bAniz
buses bAsIz
bush bUS
bushes bUSIz
busy bIzi
but b6t
but's b6ts
butter bAtR
butterflies bAtRfl9z
butterfly bAtRfl9
button bAt~
buttoned bAt~d
buttonhole bAt~hol
buttoning bAt~IN
buttons bAt~z
buy b9
by b9
bye b9
cabinet k&b6nIt
cage keG
cages keGIz
cake kek
cakes keks
california k&l6f%ny6
call kOl
called kOld
calling kOlIN
calls kOlz
came kem
can k&n
can't k&nt
canton k&nt~
cap k&p
capable kep6bL
captain k&pt~
car k#
cardboard k#db%d
cards k#dz
care k*
careful k*fL
cares k*z
carried k*id
carries k*iz
carrot k*6t
carrots k*6ts
carry k*i
cars k#z
case kes
cassy k&si
castle k&sL
castles k&sLz
cat k&t
cat's k&ts
catch k&c
catching k&cIN
categorical k&tIg%IkL
categories k&tIg%iz
cats k&ts
caught kOt
cause kOz
caves kevz
cents sEnts
cereal s(iL
certain s3t~
chain cen
chair c*
chairs c*z
change cenG
changed cenGd
changing cenGIN
character k*IktR
characteristic k*Ikt6rIstIk
characters k*IktRz
cheek cik
cheeks ciks
cheerios c(ioz
cheese ciz
chew cu
chick cIk
chicken cIk~
chickens cIk~z
chickies cIkiz
chicks cIks
chico ciko
child c9ld
children cIldr~
chin cIn
chips cIps
chocolate cOklIt
chomp cOmp
chores c%z
chose coz
christmas krIsm6s
christopher krIst6fR
cindy sIndi
cindy's sIndiz
circles s3kLz
circumstances s3kMst&nsIz
civilization sIv6l6zeS~
clapping kl&pIN
class kl&s
clay kle
clean klin
cleaned klind
cleaner klinR
cleaning klinIN
cleans klinz
clear kl(
clearly kl(li
clicking klIkIN
climb kl9m
climbed kl9md
climbing kl9mIN
climbs kl9mz
clings klIN
clobber klabR
clock klak
close kloz
closed klozd
closely klosli
cloth klOT
clothes kloz
clothing kloDIN
clouds klQdz
cluttering klAtRIN
coat kot
coats kots
coffee kOfi
cold kold
color kAlR
color's kAlRz
colored kAlRd
coloring kAlRIN
colors kAlRz
comb kom
combed komd
combing komIN
combs komz
come kAm
comes kAmz
coming kAmIN
common kam~
compared kMp*d
completely kMplitli
concentrating kans~tretIN
concept kansEpt
confuse k~fyuz
confused k~fyuzd
connect k6nEkt
connecting k6nEktIN
connection k6nEkS~
connections k6nEkS~z
connotes k6nots
conscious kanS6s
considers k~sIdRz
consistent k~sIst~t
consistently k~sIst~tli
constantly kanst~tli
constellation kanst6leS~
construct k~strAkt
contact kant&kt
